premises_text	Premises_text	hypothesis_text	Hipotesis_teks	id_pair	id_premis	label
In addition, he also had a share of the charade house where he and his friends played.	Selain itu, ia juga mendapat bagian dari rumah sandiwara tempat ia dan teman-temannya bermain.	He has friends.	Dia punya teman.	101000	10100	e
In addition, he also had a share of the charade house where he and his friends played.	Selain itu, ia juga mendapat bagian dari rumah sandiwara tempat ia dan teman-temannya bermain.	His friends have a part too.	Teman-temannya juga punya bagian.	101001	10100	n
In addition, he also had a share of the charade house where he and his friends played.	Selain itu, ia juga mendapat bagian dari rumah sandiwara tempat ia dan teman-temannya bermain.	He played at the charade house.	Dia bermain di rumah sandiwara.	101003	10100	e
These low quality can result in communication becoming disrupted, ranging from break-ups to drop calls.	Kualitas rendah ini dapat mengakibatkan komunikasi menjadi terganggu, mulai dari putus cinta hingga drop call.	Communication is disrupted due to high quality.	Komunikasi terganggu karena kualitas yang tinggi.	101010	10101	n
These low quality can result in communication becoming disrupted, ranging from break-ups to drop calls.	Kualitas rendah ini dapat mengakibatkan komunikasi menjadi terganggu, mulai dari putus cinta hingga drop call.	Communication is disrupted due to low quality.	Komunikasi terganggu karena kualitas yang rendah.	101011	10101	n
These low quality can result in communication becoming disrupted, ranging from break-ups to drop calls.	Kualitas rendah ini dapat mengakibatkan komunikasi menjadi terganggu, mulai dari putus cinta hingga drop call.	Low quality does not result in communication becoming disrupted.	Kualitas rendah tidak mengakibatkan komunikasi menjadi terganggu.	101012	10101	c
These low quality can result in communication becoming disrupted, ranging from break-ups to drop calls.	Kualitas rendah ini dapat mengakibatkan komunikasi menjadi terganggu, mulai dari putus cinta hingga drop call.	Low quality results in drop calls.	Kualitas rendah mengakibatkan penurunan panggilan.	101015	10101	n
The soil structure is a physical characteristic of soil formed from the composition between the aggregate (grain) of the ground and the space between the gregates.	Struktur tanah adalah ciri fisik tanah yang terbentuk dari komposisi antara agregat (grain) tanah dengan ruang antara gregat.	The soil structure is a physical characteristic of the soil.	Struktur tanah adalah karakteristik fisik dari tanah.	101020	10102	e
The soil structure is a physical characteristic of soil formed from the composition between the aggregate (grain) of the ground and the space between the gregates.	Struktur tanah adalah ciri fisik tanah yang terbentuk dari komposisi antara agregat (grain) tanah dengan ruang antara gregat.	The soil aggregate is a component of the soil structure.	Agregat tanah adalah komponen dari struktur tanah.	101021	10102	e
The soil structure is a physical characteristic of soil formed from the composition between the aggregate (grain) of the ground and the space between the gregates.	Struktur tanah adalah ciri fisik tanah yang terbentuk dari komposisi antara agregat (grain) tanah dengan ruang antara gregat.	The space between the gregates is a component of the structure of the soil.	Ruang antara gregat adalah komponen struktur tanah.	101022	10102	e
The soil structure is a physical characteristic of soil formed from the composition between the aggregate (grain) of the ground and the space between the gregates.	Struktur tanah adalah ciri fisik tanah yang terbentuk dari komposisi antara agregat (grain) tanah dengan ruang antara gregat.	The physical characteristics of the soil are the soil structure.	Karakteristik fisik tanah adalah struktur tanah.	101023	10102	n
The soil structure is a physical characteristic of soil formed from the composition between the aggregate (grain) of the ground and the space between the gregates.	Struktur tanah adalah ciri fisik tanah yang terbentuk dari komposisi antara agregat (grain) tanah dengan ruang antara gregat.	The soil structure is not the physical characteric of the soil.	Struktur tanah bukanlah karakter fisik tanah.	101024	10102	c
The soil structure is a physical characteristic of soil formed from the composition between the aggregate (grain) of the ground and the space between the gregates.	Struktur tanah adalah ciri fisik tanah yang terbentuk dari komposisi antara agregat (grain) tanah dengan ruang antara gregat.	The soil structure is formed from the composition between the aggregate (grain) of the ground and the space between the gregates.	Struktur tanah terbentuk dari komposisi antara agregat (grain) tanah dengan ruang antara gregat.	101025	10102	e
Indonesia was labeled as the country that forcibly occupied the former Portuguese colony with the military.	Indonesia dicap sebagai negara yang secara paksa menduduki bekas jajahan Portugis dengan militer.	Indonesia is labeled as a country.	Indonesia dicap sebagai negara.	101032	10103	n
Indonesia was labeled as the country that forcibly occupied the former Portuguese colony with the military.	Indonesia dicap sebagai negara yang secara paksa menduduki bekas jajahan Portugis dengan militer.	The country occupied by force with the military of the former Portuguese colony was Indonesia.	Negara yang diduduki secara paksa dengan militer bekas jajahan Portugis itu adalah Indonesia.	101033	10103	e
