id_pair,id_premis,premis_text,hypothesis_text,label
101000,10100,"Selain itu, ia juga memiliki andil dari rumah sandiwara tempat ia dan teman-temannya bermain.",Ia memiliki teman.,e
101001,10100,"Selain itu, ia juga memiliki andil dari rumah sandiwara tempat ia dan teman-temannya bermain.",Teman-temannya memiliki bagian juga.,n
101003,10100,"Selain itu, ia juga memiliki andil dari rumah sandiwara tempat ia dan teman-temannya bermain.",Ia bermain di rumah sandiwara.,e
101010,10101,"Kualitas yang rendah ini dapat mengakibatkan komunikasi menjadi tergganggu, mulai dari putus-putus sampai drop call.",Komunikasi terganggu akibat kualitas tinggi.,n
101011,10101,"Kualitas yang rendah ini dapat mengakibatkan komunikasi menjadi tergganggu, mulai dari putus-putus sampai drop call.",Komunikasi terganggu akibat kualitas rendah.,n
101012,10101,"Kualitas yang rendah ini dapat mengakibatkan komunikasi menjadi tergganggu, mulai dari putus-putus sampai drop call.",Kualitas yang rendah tidak mengakibatkan komunikasi menjadi terganggu.,c
101015,10101,"Kualitas yang rendah ini dapat mengakibatkan komunikasi menjadi tergganggu, mulai dari putus-putus sampai drop call.",Kualitas yang rendah mengakibatkan drop call.,n
101020,10102,Struktur tanah merupakan karakteristik fisik tanah yang terbentuk dari komposisi antara agregat (butir) tanah dan ruang antaragregat.,Struktur tanah adalah karakteristik fisik tanah.,e
101021,10102,Struktur tanah merupakan karakteristik fisik tanah yang terbentuk dari komposisi antara agregat (butir) tanah dan ruang antaragregat.,Agregat tanah adalah komponen struktur tanah.,e
101022,10102,Struktur tanah merupakan karakteristik fisik tanah yang terbentuk dari komposisi antara agregat (butir) tanah dan ruang antaragregat.,Ruang antaragregat adalah komponen struktur tanah.,e
101023,10102,Struktur tanah merupakan karakteristik fisik tanah yang terbentuk dari komposisi antara agregat (butir) tanah dan ruang antaragregat.,Karakteristik fisik tanah adalah struktur tanah.,n
101024,10102,Struktur tanah merupakan karakteristik fisik tanah yang terbentuk dari komposisi antara agregat (butir) tanah dan ruang antaragregat.,Struktur tanah bukan merupakan karakterisitik fisik tanah.,c
101025,10102,Struktur tanah merupakan karakteristik fisik tanah yang terbentuk dari komposisi antara agregat (butir) tanah dan ruang antaragregat.,Struktur tanah terbentuk dari komposisi antara agregat (butir) tanah dan ruang antaragregat.,e
101032,10103,Indonesia dicap sebagai negara yang menduduki paksa daerah bekas jajahan Portugal tersebut dengan militer.,Indonesia dicap sebagai negara.,n
101033,10103,Indonesia dicap sebagai negara yang menduduki paksa daerah bekas jajahan Portugal tersebut dengan militer.,Negara yang menduduki paksa dengan militer daerah bekas jajahan Portugal tersebut adalah Indonesia.,e
101034,10103,Indonesia dicap sebagai negara yang menduduki paksa daerah bekas jajahan Portugal tersebut dengan militer.,Indonesia tidak menduduki paksa daerah jajahan Portugal.,c
101035,10103,Indonesia dicap sebagai negara yang menduduki paksa daerah bekas jajahan Portugal tersebut dengan militer.,Daerah tersebut bukan bekas jajahan Portugal.,c
101041,10104,"Serial drama ini dibintangi Shota Matsuda, Katsumi Takahashi, Riko Narumi, Yuki Uchida, dan Satomi Kobayashi.",Serial drama ini dibintangi Katsumi Takahashi.,e
101044,10104,"Serial drama ini dibintangi Shota Matsuda, Katsumi Takahashi, Riko Narumi, Yuki Uchida, dan Satomi Kobayashi.",Serial drama ini dibintangi Satomi Kobayashi.,e
101051,10105,"Semangkuk air ini janganlah diminum, hanya digunakan untuk mencuci tangan sebelum dan sesudah makan dengan menggunakan tangan telanjang.",Mencuci tangan sebelum makan.,n
101052,10105,"Semangkuk air ini janganlah diminum, hanya digunakan untuk mencuci tangan sebelum dan sesudah makan dengan menggunakan tangan telanjang.",Mencuci tangan sesudah makan.,n
101053,10105,"Semangkuk air ini janganlah diminum, hanya digunakan untuk mencuci tangan sebelum dan sesudah makan dengan menggunakan tangan telanjang.",Semangkuk air ini untuk mencuci tangan.,e
101055,10105,"Semangkuk air ini janganlah diminum, hanya digunakan untuk mencuci tangan sebelum dan sesudah makan dengan menggunakan tangan telanjang.",Air ini tidak digunakan untuk mencuci tangan.,c
101060,10106,"Selanjutnya rangsangan dengan masturbasi diulang lagi, dan dilanjutkan dengan hubungan seksual seperti di atas.",Ransangan masturbasi diulang.,e
101061,10106,"Selanjutnya rangsangan dengan masturbasi diulang lagi, dan dilanjutkan dengan hubungan seksual seperti di atas.",Hubungan seksual dilanjutkan dengan rangsangan masturbasi.,n
101062,10106,"Selanjutnya rangsangan dengan masturbasi diulang lagi, dan dilanjutkan dengan hubungan seksual seperti di atas.",Ransangan dengan masturbasi tidak diulang.,c
101063,10106,"Selanjutnya rangsangan dengan masturbasi diulang lagi, dan dilanjutkan dengan hubungan seksual seperti di atas.",Ransangan dengan masturbasi tidak dilanjutkan dengan hubungan seksual.,c
101064,10106,"Selanjutnya rangsangan dengan masturbasi diulang lagi, dan dilanjutkan dengan hubungan seksual seperti di atas.",Hubungan seksual tidak dilanjutkan dengan rangsangan masturbasi.,n
101065,10106,"Selanjutnya rangsangan dengan masturbasi diulang lagi, dan dilanjutkan dengan hubungan seksual seperti di atas.",Ransangan masturbasi diulang sebelum hubungan seksual.,e
101070,10107,Stadion Kota Toulouse adalah stadion serbaguna terbesar di Toulouse dan merupakan stadion terbesar ketujuh di Perancis.,Stadion Kota Toulouse adalah stadion terbesar di Toulouse.,e
101071,10107,Stadion Kota Toulouse adalah stadion serbaguna terbesar di Toulouse dan merupakan stadion terbesar ketujuh di Perancis.,Stadion Kota Toulouse adalah stadion terbesar di Perancis.,c
101072,10107,Stadion Kota Toulouse adalah stadion serbaguna terbesar di Toulouse dan merupakan stadion terbesar ketujuh di Perancis.,Stadion Kota Toulouse adalah stadion terkecil di Toulouse.,c
101073,10107,Stadion Kota Toulouse adalah stadion serbaguna terbesar di Toulouse dan merupakan stadion terbesar ketujuh di Perancis.,Stadion Kota Toulouse bukan stadion serbaguna.,c
101074,10107,Stadion Kota Toulouse adalah stadion serbaguna terbesar di Toulouse dan merupakan stadion terbesar ketujuh di Perancis.,Stadion Kota Toulouse adalah stadion terbesar ketujuh di Toulouse.,c
101075,10107,Stadion Kota Toulouse adalah stadion serbaguna terbesar di Toulouse dan merupakan stadion terbesar ketujuh di Perancis.,Stadion Kota Toulouse adalah stadion terkecil di Perancis.,n
101080,10108,Dinas Daerah dipimpin oleh seorang Kepala Dinas yang berada di bawah dan bertanggung jawab kepada Bupati Kepala Daerah.,Kepala Dinas memimpin Dinas Daerah.,e
101083,10108,Dinas Daerah dipimpin oleh seorang Kepala Dinas yang berada di bawah dan bertanggung jawab kepada Bupati Kepala Daerah.,Dinas Daerah dipimpin Bupati Kepala Daerah.,n
101084,10108,Dinas Daerah dipimpin oleh seorang Kepala Dinas yang berada di bawah dan bertanggung jawab kepada Bupati Kepala Daerah.,Kepala Dinas berada dibawah Bupati Kepala Daerah.,e
101090,10109,"Judul pengantar pada Septuaginta berbunyi ""Mazmur"" ini digolongkan tulisan Daud dan di luar penomoran.",Judul pengantar pada Septuaginta di dalam penomoran.,c
101091,10109,"Judul pengantar pada Septuaginta berbunyi ""Mazmur"" ini digolongkan tulisan Daud dan di luar penomoran.",Judul pengantar pada Septuaginta bukan tulisan Daud.,c
101092,10109,"Judul pengantar pada Septuaginta berbunyi ""Mazmur"" ini digolongkan tulisan Daud dan di luar penomoran.",Judul pengantar pada Septuaginta berbunyi Mazmur.,e
101093,10109,"Judul pengantar pada Septuaginta berbunyi ""Mazmur"" ini digolongkan tulisan Daud dan di luar penomoran.",Mazmur digolongkan tulisan Daud.,n
101094,10109,"Judul pengantar pada Septuaginta berbunyi ""Mazmur"" ini digolongkan tulisan Daud dan di luar penomoran.",Mazmur di luar penomoran.,n
101095,10109,"Judul pengantar pada Septuaginta berbunyi ""Mazmur"" ini digolongkan tulisan Daud dan di luar penomoran.",Judul pengantar ini digolongkan tulisan Daud.,e
101100,10110,Aliran ilmu silat yang didalami Panji dari gurunya tergolong ilmu silat beracun yang tergolong hitam dan sesat.,Ilmu silat Panji tergolong ilmu silat putih.,c
101101,10110,Aliran ilmu silat yang didalami Panji dari gurunya tergolong ilmu silat beracun yang tergolong hitam dan sesat.,Ilmu silat Panji tergolong ilmu silat hitam.,e
101103,10110,Aliran ilmu silat yang didalami Panji dari gurunya tergolong ilmu silat beracun yang tergolong hitam dan sesat.,Aliran ilmu silat Panji tergolong ilmu silat beracun.,e
101110,10111,Lil Woods adalah aktris muda yang berperan dalam film Nanny McPhee and the Big Bang sebagai Megsie Green.,Lil Woods adalah aktris muda.,e
101111,10111,Lil Woods adalah aktris muda yang berperan dalam film Nanny McPhee and the Big Bang sebagai Megsie Green.,Lil Woods adalah aktris tua.,c
101112,10111,Lil Woods adalah aktris muda yang berperan dalam film Nanny McPhee and the Big Bang sebagai Megsie Green.,Lil Woods berperan sebagai Megsie Green.,e
101113,10111,Lil Woods adalah aktris muda yang berperan dalam film Nanny McPhee and the Big Bang sebagai Megsie Green.,Aktris tua berperan dalam film Nanny McPhee.,n
101114,10111,Lil Woods adalah aktris muda yang berperan dalam film Nanny McPhee and the Big Bang sebagai Megsie Green.,Megsie Green diperankan oleh Lil Woods.,e
101115,10111,Lil Woods adalah aktris muda yang berperan dalam film Nanny McPhee and the Big Bang sebagai Megsie Green.,Megsie Green tidak diperankan Lil Woods.,c
101120,10112,"Dengan meniupnya, perawat bisa segera mengerti bahwa ia dipanggil dan akan segera datang menolong.",Perawat mengerti bahwa ia dipanggil.,n
101121,10112,"Dengan meniupnya, perawat bisa segera mengerti bahwa ia dipanggil dan akan segera datang menolong.",Perawat mengerti bahwa ia dipanggil dengan meniupnya.,e
101124,10112,"Dengan meniupnya, perawat bisa segera mengerti bahwa ia dipanggil dan akan segera datang menolong.","Dengan meniupnya, perawat tidak mengerti bahwa ia dipanggil.",c
101130,10113,"Songgon adalah sebuah nama desa di wilayah Songgon, Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia.",Sebuah desa di wilayah Songgon bernama Songgon.,e
